Topic,Count,Name,CustomName,Representation,Representative_Docs
43,86,43_mislabeled size_size mislabeled_size incorrect_incorrect size,"Size, dimension, and length labeling errors","[""mislabeled size"", ""size mislabeled"", ""size incorrect"", ""incorrect size"", ""incorrect labeling"", ""packaged incorrect"", ""incorrectly packaged"", ""size printed"", ""incorrect label"", ""wrong size""]","[""the linear shrinkage on the zirconia blank disc s part label is incorrect. the average linear shrinkage found on the product label was outside the acceptable range. the acceptable average linear shrinkage ranges between 1.225 to 1.275. the production lot being has a linear shrinkage rate of 2.251 which is above the acceptable range."", ""firm officials reported to cin-do that for this device, in the labeling on the inner tyvek peel pouch, the letter 'e' in electrosurgical was turned into an 'x' and the number '5\"" of the (mm tips) was turned into a '0'. this affected the description and some of the text of the labels. however, it did not t affect the part number and lot number on the label."", ""smiths manufacturerl has become aware that the drawing on the instructions for use (ifu) on certain yellow striped cadd administration sets (part number 21-7339-24), incorrectly represent the actual filter size of the product. although the text description on the ifu correctly identifies the product to include a 0.2 micron filter, the illustration on the ifu identifies the filter size as 2.0 microns.""]"
44,89,44_monitor defibrillator_ecg cable_ecg signal_ecg,"ECG waveform, cable, and cardiac-monitoring failures","[""monitor defibrillator"", ""ecg cable"", ""ecg signal"", ""ecg"", ""ecg measurements"", ""ecg waveforms"", ""ecg waveform"", ""cardiac arrhythmia"", ""defibrillator"", ""vital signs""]","[""intermittent noise on ecg and/or respiration waveforms associated with movement of the ecg cable connector on the dash, pdm, and/or tram module. result in reduced ecg, respiration and arrhythmia detection performance."", ""the carescape patient data module (pdm) is used with the following monitors: carescape b450/b650/b850, solar 8000m/i and transport pro. if pace detection is turned on, on the monitor, and if an automated external defibrillator (aed) is used to perform defibrillation, the low frequency signals deployed by the aed, cause the pdm to a false flat line ecg waveform and alarm asystole to be displayed on the monitor."", ""manufacturer has recently become aware of a potential safety due to intermittent noise on ecg and/or respiration waveforms associated with movement of the ecg connector on your dash, pdm, and/or tram module. ecg and respiration signal noise caused by dash, pdm, and/or tram ecg cable connector movement result in reduced ecg, respiration and arrhythmia detection performance.""]"
45,69,45_stent delivery_stent graft_stent_stents,"Stent, stent-graft, and deployment system failures","[""stent delivery"", ""stent graft"", ""stent"", ""stents"", ""abdominal stent"", ""endovascular"", ""inner catheter"", ""delivery catheter"", ""manufacturer vascular"", ""implant procedure""]","[""manufacturing of the joint between the inner catheter and stylet of the delivery system does not consistently meet specifications, and the joint separate during deployment. failure of this joint during a procedure result in a partial stent deployment. the clinical effect of a partial deployment be a need for surgical intervention, or result in vessel trauma or an embolic event"", ""certain batches are being removed due to an increase in complaints received in which physicians encountered greater than anticipated resistance while attempting to withdraw the stent delivery system (sds) from the guidewire or embolic protection device (epd) after successful stent deployment. the most serious potential adverse health consequence is stroke. other risks include delay to procedure, vessel injury, vessel spasm, or stent disruption/damage necessitating additional intervention."", ""increased reports of stent deployment and expansion issues. the most common outcome reasonably foreseeable resulting from difficulty deploying the stent is prolongation of the procedure to exchange the device for a new one. the most serious reasonably foreseeable outcome in cases where the first flange is unable to deploy or expand would be a cascade of events resulting in additional intervention, either endoscopic or surgical, to remove the stent and close the puncture site.""]"
46,112,46_fixation screw_mating screw_plate screw_polyaxial screws,"Orthopedic set screw, thread, and locking failures","[""fixation screw"", ""mating screw"", ""plate screw"", ""polyaxial screws"", ""locking screws"", ""locking screw"", ""screw plate"", ""head screw"", ""screw systems"", ""screw assembly""]","[""thread form of the locking holes in that the locking screws would not properly mate with the plate. the improperly mated screw not be readily recognizable by the user since the screw not correctly lock."", ""manufacturer is conducting a of the connector system large set screw (pn: 79-2002) with affected lot numbers 001 and 002, and small set screw (pn: 79-2003) with affected lot numbers 002, 003 and 004. through the company's manufacturing controls, size discrepancies were noted with the drive feature for both the large and small sets screws. as a result, it is possible that (1) the set screw drive feature will not accept the set screw driver (pn: 79-1006) or (2) the driver get wedged in the corners of the drive feature (false bottom) which lead to a stripped set screw."", ""thread form for the locking holes in that the locking screws not properly mate with the plate. the improperly mated screw not be readily recognizable by the user since the screw not correctly lock, result in delay in surgery or loss of fixation resulting further intervention""]"
47,62,47_bed movement_patient bed_bed exit_patient fall,"Hospital bed, stretcher, and patient fall hazards","[""bed movement"", ""patient bed"", ""bed exit"", ""patient fall"", ""mattress"", ""patient falling"", ""patient moved"", ""user injury"", ""bed"", ""mattresses""]","[""it was identified that the volume of air inside the mattress expand in regions of high altitude which result in an unintended gap between the plateau of the inflated patient surface and tub. a health hazard evaluation was completed which identified the potential risk of patients moving out of position and rolling over on the mattress. while the highest possible severity of harm associated with this condition is death, there have been no reports of injury or harm. this condition has only presented in regions of high altitude; however, manufacturer has chosen to replace all naera mattresses in the field."", ""when the bed is put into the chair egress position, the magnets on the mattress not hold the bottom of the mattress flat to the bed frame, and the mattress foot section will extend away from the bed at an angle. a patient attempting to get back into the bed miss the seat and sit on the foot section instead. the patient can slide down to the floor, or fall, with possible injury."", ""manufacturer, inc., in conjunction with okin america, has a field correction affecting the okin america \""duomat 3\"" head/foot motor used in the manufacture of our lumex patriot full electric bed model us0458/us0468 and patriot lx full electric bed model us6000. the failure mode is directly related to contaminated material in the plastic housing used to produce the duomat 3 motor. contaminated motor housings crack resulting in a motor that will no longer actuate the head section per the intended design. if the head section were to fall it is unlikely but possible an injury could occur. no injuries have been reported.""]"
48,71,48_pressure monitoring_blood pressure_intracranial pressure_vital signs,"Blood pressure, SpO2, and vital-sign monitoring errors","[""pressure monitoring"", ""blood pressure"", ""intracranial pressure"", ""vital signs"", ""pressure values"", ""pressure measurement"", ""invasive pressure"", ""patient monitor"", ""pressure waveform"", ""pressure higher""]","[""the invasive blood pressure (ibp) numeric values will freeze on the display when any of the following functions are performed: change an ibp site label using the site label icon or the keyboard, activate or deactivate the mean pressure waveform display option (on/off) using the invasive pressure options dialog or the keyboard, activate or deactivate the waveform hide option (on/off) using the invasive pressure options dialog, activate or deactivate the pressure waveform filter option (on/off) using the keyboard, and/or perform a pullback using the pullback icon or the keyboard"", ""when a neonatal patient is admitted, the non-invasive blood pressure is not set to neonatal mode on the manufacturer xperflex cardio fc2010 patient monitor. if the nibp is not set to neonatal, the cuff inflation pressure applied will be higher than 150 mmhg and the deflation pressure will be higher than 5 mmhg. an applied cuff inflation pressure higher than 150mmhg or a deflation pressure higher than 5 could lead to bruising, mmhg nerve damage or bone deformity for a neonate."", ""mermanufacturer has been informed by schiller ag (baar, switzerland) of an with the schiller argus pb-3000 patient data module (pdm) where certain units trigger an error message on the merge hemo client (pressure sensor defective) during non-invasive blood pressure (nibp) measurements, specifically when the initial inflation pressure is set in the high-pressure range (>240 mmhg). the argus pb-3000 is a vital signs monitoring instrument intended to be integrated into the merge hemo system. no other components of the merge hemo system are affected.""]"
49,50,49_endotoxin contamination_out-of-specification endotoxin_endotoxin results_endotoxin levels,"Bacterial endotoxin, pyrogen, and bioburden contamination","[""endotoxin contamination"", ""out-of-specification endotoxin"", ""endotoxin results"", ""endotoxin levels"", ""endotoxin"", ""contamination identified"", ""contamination non-sterile"", ""testing adverse"", ""microbial contamination"", ""inflammatory response""]","[""dura regeneration matrix have out-of-specification endotoxin levels due to issues with in-process and finished goods endotoxin testing, which present clinically with signs and symptoms of an acute inflammatory process, comparable to infection."", ""identified higher-than-expected levels of endotoxin within the raw material used to produce codman surgical patties and strips that have resulted in out-of-specification levels of endotoxin in finished goods"", ""surgical patties & surgical strips in specific lots of custom convenience kits were found to contain higher-than-expected levels of endotoxin within the raw material used to produce sterile codman surgical patties and strips that have resulted in out-of-specification levels of endotoxin in those finished goods""]"
50,52,50_storage temperature_temperature manufacturer_temperature conditions_refrigeration,Storage-temperature and cold-chain excursions,"[""storage temperature"", ""temperature manufacturer"", ""temperature conditions"", ""refrigeration"", ""refrigerated storage"", ""temperatures listed"", ""higher temperatures"", ""temperature listed"", ""temperatures cause"", ""room temperature""]","[""facility critical temperature excursions on 08-jan in walk-in refrigerator due to mechanical failures, causing temperatures to fall below the validated range of 35.6 - 46.4 degrees fahrenheit (2 - 8 degrees celsius) for up to 60 minutes ."", ""transit delays of certain cold chain products due to severe thunderstorms which caused the products to be stored outside the recommended labeled storage conditions. this failure could increase the probability of an incorrect test result or a delayed test result."", ""facility critical temperature excursions on 08-jan in walk-in refrigerator due to mechanical failures, causing temperatures to fall below the validated range of 35.6 - 46.4 degrees fahrenheit (2 - 8 degrees celsius) for up to 60 minutes which could increase the probability of an incorrect test result or a delayed test result.""]"
51,48,51_monitor fall_monitor arm_video monitor_suspension fall,Monitor suspension and mounting hardware failures,"[""monitor fall"", ""monitor arm"", ""video monitor"", ""suspension fall"", ""suspension arm"", ""screen monitor"", ""monitor"", ""ceiling suspension"", ""safety cable"", ""missing screws""]","[""manufacturer has become aware of a potential safety involving missing screws used for mounting the overhead video monitor to the tray assembly on a single monitor suspension. this affects the precision 500d x-ray imaging systems."", ""extra monitors, so called 7th or 8th monitor, mounted on the monitor ceiling suspension (mcs), might disengage from the mcs and fall down. the two small set screws securing the two gliding rods into an aluminum block of the support arm can come loose because of vibrations and forces exerted on them. if the set screws have come loose gravity can keep the rods in position. however, if a force is exerted on the monitor pushing it forward, the monitor can topple forward. once the monitor has toppled over it is only attached with its wires. if the monitor breaks loose of its wires it will drop on the floor."", ""manufacturer has recently become aware of a potential safety involving the precision 500d, precision mpi & precision rxi x-ray imaging systems overhead lcd video monitor suspension (single monitor & dual monitor). there is a potential for the locking nut to loosen out of the lcd video monitor suspension yoke. this will not lead to an immediate fall of the suspended monitor since it will""]"
52,46,52_barcode labels_barcode label_barcode_barcodes,"Barcode, UDI, and sample identification errors","[""barcode labels"", ""barcode label"", ""barcode"", ""barcodes"", ""bar code"", ""sample barcode"", ""sorting drive"", ""tube labels"", ""sorting"", ""scanner""]","[""sorting-drive software version 4.2 (released in ) introduced a new option for ipaw and the sorting-drive client that is used for manual printing of barcodes. sorting drive software version 4.2 was replaced by 4.2.1 (both versions contain the same option for manual barcode printing). when printing consecutively numbered tube labels using this optional barcode counter function, the system incorrectly converts numbers with consecutive multiple zeroes in the middle, potentially leading to wrong barcode ids. the firm reports that this does not affect automated label creation or reprinting of individual labels and that no other system functions are affected."", ""sorting-drive software version 4.2 (released in ) introduced a new option for ipaw and the sorting-drive client that is used for manual printing of barcodes. sorting drive software version 4.2 was replaced by 4.2.1 (both versions contain the same option for manual barcode printing). when printing consecutively numbered tube labels using this optional barcode counter function, the system incorrectly converts numbers with consecutive multiple zeroes in the middle, potentially leading to wrong barcode ids. the firm reports this does not affect automated label creation or reprinting of individual labels and that no other system functions are affected."", ""sorting-drive software version 4.2 (released in ) introduced a new option for ipaw and the sorting-drive client that is used for manual printing of barcodes.sorting drive software version 4.2 was replaced by 4.2.1 (both versions contain the same option for manual barcode printing). when printing consecutively numbered tube labels using this optional barcode counter function, the system incorrectly converts numbers with consecutive multiple zeroes in the middle, potentially leading to wrong barcode ids. the firm reports that this does not affect automated label creation or reprinting of individual labels and that no other system functions are affected.""]"
53,140,53_manufacturer inratio_inr manufacturer_manufacturer sample_fda manufacturer,"Mixed manufacturer-specific device, labeling, and quality failures","[""manufacturer inratio"", ""inr manufacturer"", ""manufacturer sample"", ""fda manufacturer"", ""results manufacturer"", ""manufacturerl abx"", ""manufacturer unicel"", ""manufacturer america"", ""manufacturer san"", ""life manufacturer""]","[""manufacturer is any unexpired lots of hithsp10 cranial access kits due to identified labeling discrepancies. kit contains duraprep and monocryl sutures whose labeling does not align with the intended use and labeling of the cranial access kit."", ""manufacturer llc is hld systems model 610 washer/high level disinfector due to a potential risk of the system not injecting the proper amount of cleaning fluid during the wash cycle and not achieving the desired level of debris reduction."", ""clr manufacturerls intermanufacturer, a nationwide of viscocel and viscocel plus, in response to fda inspection findings of deficiencies in the quality system regulations for manufacturerl device manufacturers, 21 code of federal regulation (cfr) part 820 and lack of premarket approval (pma) for devices sold or distributed in domestic commerce. the viscoelastic products, intended for human""]"
54,64,54_guide wires_guidewires_damage cable_lead wire,"Guidewire, lead-wire, cable, and coating defects","[""guide wires"", ""guidewires"", ""damage cable"", ""lead wire"", ""wire lead"", ""delivery wire"", ""wire guide"", ""wires"", ""wire"", ""ptfe""]","[""manufacturer has identified an with a specific lot of the archer 0.035 inch (0.89mm) super stiff guidewire, model arcsj200w, where the ptfe (teflon) coating has the potential to separate from the wire during in-vivo use."", ""manufacturer neurovascular has observed an increased frequency of ptfe coating damage occurring on the synchro guidewires that be caused by the practice of backloading the guidewire through the optional introducer accessory. this is limited to certain lots of the synchro guidewire that contain an older version of the introducer accessory. due to variation in the manufacturing process of the supplier of the introducer accessory, certain lots of introducers have sharper than intended edges that can peel off the ptfe coating when physicians use a technique known as backloading. users with impacted product in their inventory are cautioned not to use this backloading technique."", ""potential for ptfe (polytetrafluroethylene) coating to delaminate and detach from guidewire. manufacturer guide wires are steerable guide wires that are used for the introduction and placement of diagnostics or interventional devices in the coronary and peripheral vasculature, and be used to reach and cross a target lesion. manufacturer guide wires are not intended for cerebral vasculature. medt""]"
